index,Mean Train Error,Std Train Error,Mean Test Error,Std Test Error
0.001,0.05408712019360042,0.01874046393705323,0.07731182795698924,0.01787794074848682
0.005333333333333333,0.002493949986555526,0.0010092090865517348,0.035376344086021506,0.0035888858641459427
0.009666666666666667,0.0006991126646948105,0.0005569323790591014,0.03110215053763441,0.004200005368082062
0.013999999999999999,0.00036300080666845923,0.0003757243509675214,0.030188172043010754,0.0036554197958218117
0.018333333333333333,0.0003159451465447701,0.0002595688972345768,0.030295698924731183,0.0039224289904186745
0.02266666666666667,0.00034955633234740535,0.0004042295342396588,0.031290322580645166,0.004296368392259581
0.027,0.0001949448776552837,0.00013760076290977898,0.03185483870967742,0.004097589030810431
0.03133333333333333,0.00021511158913686476,0.0002100094024174954,0.03411290322580646,0.00436271357553607
0.035666666666666666,0.000275611723581608,0.0003766252978712406,0.035456989247311825,0.004251988034206338
0.04,0.00043694541543425666,0.001083823943793188,0.035698924731182795,0.00291713117553775
