gamma,train_error_mean,train_error_std,test_error_mean,test_error_std
0.1,0.0012705028233396074,0.00016724731520065513,0.04553763440860216,0.004757684815661899
0.5,0.00012100026888948643,4.033342296316214e-05,0.03212365591397849,0.004324115038211132
1.0,0.0,0.0,0.050215053763440855,0.005481234871369004
2.0,0.0,0.0,0.29330645161290325,0.009017965842866935
3.0,0.0,0.0,0.46053763440860207,0.008688078888034611
