Degree,Mean Train Error,Std Train Error,Mean Test Error,Std Test Error
1,0.06039930088733529,0.010164580534870757,0.08741935483870968,0.0109066928380965
2,0.00546517881150847,0.00285936977452559,0.03959677419354839,0.005072816406758843
3,0.0012234471632159185,0.000650217923600094,0.03282258064516128,0.004522125435345679
4,0.0007528905619790267,0.0005161697719938819,0.031720430107526884,0.004344538462545575
5,0.000557945684323743,0.0005833647109343276,0.029946236559139788,0.003936497313545265
6,0.00035627856950793226,0.00021374177326680084,0.03252688172043011,0.0044610698986901065
7,0.0006520570045711213,0.0017474067275260819,0.03241935483870968,0.003383681500550444
